name,ring,quadrant,isNew,description,
C#,Adopt,"Languages, Frameworks & Techniques",FALSE,<strong>C#</strong> is our preferred programming language for developing server side applications.,
TypeScript,Adopt,"Languages, Frameworks & Techniques",FALSE,<strong>TypeScript</strong> is our preferred programming language for developing client side applications.,
SQL,Adopt,"Languages, Frameworks & Techniques",FALSE,<strong>SQL</strong> is used for complex integrations with customers' systems.,
Python,Trial,"Languages, Frameworks & Techniques",FALSE,<strong>Python</strong> is our preferred programming language for AI related tasks.,
Flux,Assess,"Languages, Frameworks & Techniques",FALSE,"<a href=""https://docs.influxdata.com/influxdb/v2.4/query-data/"">Flux</a> is a languge for accessing data from <a href=""https://www.influxdata.com/get-influxdb/"">InfluxDB</a>",
JavaScript,Adopt,"Languages, Frameworks & Techniques",FALSE,<strong>JavaScript</strong> is the base programming language used for frontend development.,
ExtJS,Hold,"Languages, Frameworks & Techniques",FALSE,,
Angular,Adopt,"Languages, Frameworks & Techniques",FALSE,,
Blazor,Assess,"Languages, Frameworks & Techniques",FALSE,,
Web Components,Trial,"Languages, Frameworks & Techniques",FALSE,,
.NET 4.8,Hold,Infrastructure & Tools,FALSE,,
.NET 6,Trial,Infrastructure & Tools,FALSE,,
MS SQL Server,Adopt,Data Management,FALSE,,
InfluxDB,Assess,Data Management,FALSE,"<a href=""https://www.influxdata.com/get-influxdb/"">InfluxDB</a> is used for MetaMetrics.",
TeamCity,Adopt,Infrastructure & Tools,FALSE,,
GitLab (Git),Adopt,Infrastructure & Tools,FALSE,,
GitLab (Runners),Assess,Infrastructure & Tools,FALSE,,
Selenium,Trial,Infrastructure & Tools,FALSE,,
NUKE Build,Adopt,Infrastructure & Tools,FALSE,"<a href=""https://nuke.build/"">NUKE Build</a> is our preffered way of wriing build scripts",
NodeJS,Adopt,Infrastructure & Tools,FALSE,,
Visual Studio Code,Trial,Editors,FALSE,<strong>Visual Studio Code</strong> is an alternative to WebStorm for editing JavaScript\TypeScript.,
Visual Studio,Hold,Editors,FALSE,We still install VS 2015 for building process as required dependency for Silverlight. ,
Rider,Adopt,Editors,FALSE,<strong>Rider</strong> is our preferred IDE for C#.,
WebStorm,Adopt,Editors,FALSE,<strong>WebStorm</strong> is our preferred IDE for JavaScript\TypeScript.,
MSBuild,Hold,Infrastructure & Tools,FALSE,MSBuild scripts can be still used on some projects which were not converted to Nuke,
Docker,Trial,Infrastructure & Tools,FALSE,,
Vagrant,Assess,Infrastructure & Tools,FALSE,,
Thor,Trial,Infrastructure & Tools,FALSE,,
Nx,Trial,Infrastructure & Tools,FALSE,,
NSwag,Adopt,Infrastructure & Tools,FALSE,,
Akita,Assess,"Languages, Frameworks & Techniques",FALSE,,
Elastisearch\Opensearch,Assess,Data Management,FALSE,,
Redis,Assess,Data Management,FALSE,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
